url,googleSearchVolume,totalSearchVolume,session
kingston/camera-photo/memory-cards/micro-sds,20,20,88
rkm/motorcycle-accessories,0,0,265
tag-heuer/watches/analogue,10,10,7
nars/makeup/face/foundations,2400,2400,46
ids/hair-care,0,0,56
xiaomi/phones-tablets/tablets,1300,2560,398
tanamera/skin-care/face/scrubs,0,0,0
rsvp/clothing,30,30,26
jm-solution/skin-care/face/masks,10,10,144
tena/diapering/accessories,0,0,7
rado/original,260,580,7
bodum/kitchen-dining/tableware/drinkware/cups-mugs,0,0,54
mitsubishi/computing/hardware/fans-cooling,0,0,41
the-executive/clothing/dresses,0,0,5
reebok/clothing/underwear,10,60,3
nissan/x-trail,9900,9910,49
the-north-face/shoes/boots,70,70,3
reef/clothing,10,10,2
porsche-design/clothing/sunglasses,110,110,71
lee-cooper/bags/wallets,20,20,76
pensonic/appliances/toasters,0,0,34
timberland/bags/travel/luggage,0,0,5
rossmax/medical-supplies/thermometers,0,0,5
asics/shoes/sports/running,1600,1600,230
shapee/clothing,0,0,1
reebok/floatride,90,110,43
puma/carson,20,30,21
vago/bathroom,0,0,14
smythson/women,0,0,3
aj/shoes/sports,30,30,47
reef/skin-care/face/sun-protection,0,0,31
village-11-factory/women,0,0,3
super-coffee/groceries/food-cupboard/cooking-ingredients,0,0,2
deko/home-improvement/tools,30,30,49
national-geographic/clothing,30,30,70
speedy/shoes,10,10,23
wwe/clothing,10,90,4
supor/appliances/cookers/slow,0,0,1
samsonite/bags/laptop,210,210,30
timex/watches,1000,1230,187
xiaomi/gym/equipments/yoga-mats,0,0,1
susen/bags/sling/shoulder,0,0,0
titan/jewellery/rings,210,210,10
yves-saint-laurent/bags/wallets/card-holders,10,10,175
zalora/shoes/women,40,40,0
swarovski/jewellery/cufflinks,20,20,8
anime/phones-tablets/accessories/cases-covers,0,0,15
teekeer/bags,0,0,4
diadora/shoes,390,600,80
fendi/bags/sling,320,510,34
apieu/makeup/face,0,0,0
the-olive-tree/bath-body,0,0,3
kamen-rider/toys/action-figures,20,20,44
apple/watch,33100,125060,5013
tommee-tippee/housekeeping/cleaning-supplies,0,0,7
lotto/shoes,320,670,101
hannah-martin/watches,1000,1000,680
applelady/kitchen-dining/women,0,0,1
trio/appliances/mixers/hand,0,0,2
butterfly/appliances/freezers,30,30,39
baby-natura/makeup/accessories/sponges,0,0,0
uhu/home-improvement,0,0,1
gucci/marmont/bags/sling/shoulder,40,40,31
toyota/car-accessories/wipers,10,10,116
citizen/watches/sports,10,10,7
vans/clothing/women,10,40,0
levis/505,320,350,28
adidas/falcon,1900,2000,42
vivienne-westwood/clothing/sweaters,10,10,1
maserati/watches/men/chronograph,0,0,42
adidas/harden/shoes,10,20,24
sorento/bathroom,0,0,269
converse/clothing/shirts,210,210,0
3m-scotch/stationery/adhesives/tapes/dispensers,10,10,1
tokushima/adventure/fishing/reels,10,10,48
dolce-gabbana/clothing/jeans,10,10,36
diplomat/bags/travel,10,10,20
liqui-moly/car-accessories/lubricants,0,0,270
daia/housekeeping,0,0,7
4life/food-supplements,0,0,6
guy-laroche/clothing,10,10,17
louis-vuitton/perfume,390,450,300
deka/groceries/food-cupboard/biscuits,0,0,1
adidas/clothing/sportswear/accessories/shin-guards,50,50,1
dahua/camera-photo/ip,90,90,79
rebirth/watches,10,10,51
kappa/clothing/jackets,110,110,10
skechers/shoes/sandals,2400,2400,193
devon/home-improvement/tools/angle-grinders,0,0,4
adidas/eqt/shoes/sneakers/low-cut,0,0,4
lexar/computing/external-storage/flash-drives,10,10,15
gu/clothing,70,90,184
disney/bags/backpacks,40,40,9
amart/bags/handbags,0,0,4
loro-piana/shoes,20,30,10
tag-heuer/watches,1600,3020,521
dorothy-perkins/clothing/jackets,10,10,3
armani/watches/straps,10,10,2
lux/clothing/women/dresses/wedding,0,0,5
victorias-secret/makeup/lips/lipsticks,320,350,323
dux-ducis/computing/accessories/keyboards,0,0,1
artiart/kitchen-dining/tableware/drinkware,0,0,1
mr-diy/clothing,0,0,33
etude-house/makeup/accessories/brushes/sets,0,0,1
asd/appliances,0,320,4
cerruti-1881/bags/wallets,70,70,36
nutriforte/supplements/vitamins/vitamin-c,0,0,16
nixon/watches,1300,1430,180
faber/appliances/irons/steam,0,0,0
atmua/hallway-entry/chairs/wooden,0,0,0
